,0
355908,0
248676,1
318965,2
253185,3
367447,4
22556,5
443030,6
439202,7
428805,8
82389,9
10572,10
410676,11
44872,12
156489,13
402625,14
334662,15
251467,16
5206,17
176721,18
135256,19
132316,20
343861,21
36642,22
17655,23
187722,24
21989,25
262799,26
250696,27
388242,28
205392,29
123990,30
345560,31
128394,32
45337,33
43485,34
430845,35
22926,36
181743,37
280893,38
216707,39
306886,40
159780,41
386527,42
106564,43
75994,44
280375,45
367500,46
112792,47
102061,48
16813,49
128499,50
456784,51
427725,52
134264,53
335975,54
51354,55
55555,56
350819,57
422768,58
417464,59
323147,60
448136,61
255275,62
140848,63
102986,64
357579,65
348196,66
31514,67
292444,68
332761,69
395002,70
415437,71
391289,72
142075,73
288868,74
181142,75
367797,76
302509,77
87947,78
97879,79
131882,80
255833,81
227935,82
69533,83
359747,84
81075,85
257675,86
324543,87
328025,88
202719,89
372688,90
261865,91
431148,92
102131,93
67627,94
78037,95
458588,96
75006,97
24431,98
412312,99
337686,100
137305,101
167337,102
203231,103
269430,104
308053,105
202373,106
456005,107
346655,108
227437,109
356475,110
77884,111
279976,112
25427,113
347194,114
46097,115
42002,116
131383,117
221347,118
459752,119
141264,120
21886,121
316135,122
190172,123
28540,124
455763,125
13091,126
267839,127
213464,128
20889,129
160161,130
341548,131
7438,132
398579,133
350689,134
432330,135
432925,136
432152,137
466861,138
423120,139
283146,140
438681,141
146700,142
322930,143
98498,144
288280,145
303619,146
37945,147
46130,148
310791,149
213570,150
422425,151
10620,152
397256,153
389644,154
298868,155
386146,156
134458,157
244504,158
444338,159
367617,160
161166,161
261320,162
413990,163
25071,164
256368,165
324624,166
234255,167
190545,168
268266,169
110122,170
394254,171
40596,172
38483,173
272187,174
312728,175
276704,176
184199,177
337335,178
429607,179
325262,180
425726,181
161346,182
285173,183
458894,184
272446,185
449010,186
188148,187
402236,188
43391,189
331725,190
71957,191
369447,192
201940,193
372845,194
72611,195
260581,196
354042,197
33638,198
334432,199
440180,200
459761,201
385376,202
336552,203
291770,204
443967,205
234185,206
154912,207
86238,208
122834,209
282803,210
48743,211
138439,212
54008,213
178496,214
458265,215
170751,216
2263,217
59776,218
14671,219
402110,220
207825,221
460643,222
237422,223
336855,224
204785,225
392392,226
164109,227
179601,228
134118,229
106279,230
43101,231
250212,232
153935,233
253175,234
466472,235
106874,236
316753,237
105274,238
59866,239
62549,240
32971,241
426007,242
216095,243
14159,244
215767,245
308985,246
139936,247
371590,248
251813,249
379264,250
222613,251
347937,252
286065,253
232858,254
337431,255
395596,256
29100,257
267010,258
203877,259
96924,260
95655,261
84160,262
261793,263
343537,264
407343,265
63184,266
368057,267
105334,268
243470,269
444951,270
227470,271
55364,272
257040,273
62312,274
444979,275
374673,276
47139,277
24608,278
198209,279
298056,280
305760,281
356283,282
441953,283
268881,284
189563,285
204070,286
462945,287
58869,288
19003,289
150217,290
358130,291
108638,292
63312,293
168527,294
15335,295
38006,296
80299,297
433059,298
159835,299
265505,300
125810,301
181673,302
436461,303
94488,304
102229,305
233770,306
197980,307
76196,308
141703,309
396045,310
456627,311
281657,312
263153,313
24291,314
383336,315
434278,316
140861,317
246110,318
165035,319
93001,320
281211,321
395153,322
89737,323
88318,324
137633,325
184370,326
350629,327
360173,328
36683,329
462203,330
20192,331
396238,332
59467,333
306260,334
61847,335
320970,336
302948,337
196038,338
315393,339
379744,340
85940,341
185935,342
50467,343
264801,344
161478,345
262107,346
189429,347
80435,348
76617,349
356320,350
428825,351
350766,352
375492,353
107853,354
344224,355
198620,356
397995,357
451967,358
421615,359
197245,360
58194,361
248175,362
403716,363
135251,364
78163,365
385201,366
192832,367
318333,368
416987,369
449646,370
295785,371
277613,372
65188,373
91607,374
377474,375
77173,376
302303,377
385769,378
176162,379
143486,380
154413,381
121453,382
428952,383
254477,384
49347,385
199810,386
233263,387
333560,388
462394,389
319910,390
123882,391
62746,392
253615,393
267535,394
337358,395
364043,396
56352,397
99496,398
412404,399
455006,400
81345,401
316444,402
360258,403
174172,404
24477,405
241752,406
183238,407
14974,408
98728,409
147551,410
67486,411
276105,412
212837,413
218505,414
67487,415
298598,416
174955,417
103405,418
83791,419
65426,420
58729,421
444848,422
463379,423
35742,424
465522,425
55799,426
20785,427
122873,428
247307,429
181576,430
420056,431
420960,432
356837,433
277651,434
69408,435
139068,436
115244,437
281958,438
111530,439
162345,440
37029,441
51561,442
105878,443
19572,444
325353,445
347657,446
221329,447
273743,448
336393,449
79368,450
